course_id,course_name,course_description,category_id,category_name,content_language,course_item_count,completion_percentage
441,Module 5: Building a Team That Can Build the Dream,"Launching an initiative—whether it’s a business, nonprofit, or community project—is not a solo journey. Behind every impactful venture is not just a great idea, but a great team. Your founding team shapes your solution, defines your culture, and sets the tone for everything that follows. The skills you don’t have yet? You’ll need to find them. The gaps in your thinking? You’ll need to fill them—with people who challenge you, complement you, and build alongside you. In this module, we’ll explore how to build a strong, values-aligned team by understanding your leadership style, identifying skill gaps, and complementing your strengths with the right collaborators. You’ll also learn how to foster collective creativity—designing a team culture that sparks innovation, trust, and shared ownership from the very beginning.",45,Become an Entrepreneur,EN-US,0,0
447,Module 6: Finding Available Support in Your Ecosystem,"Entrepreneurship is a difficult journey, full of ups and downs. But you will not be alone! Wherever you are, you can find plenty of organizations or individuals who stand ready to support you. It takes a village to raise a child, it also takes an ecosystem to raise a business!

In this module, you will understand the 6 components that make an entrepreneurship ecosystem and what kind of support is available for your business. You will also hear from entrepreneurship-support organizations about what they do. 

Finally, you will discover the Pitch Deck template, a powerful framework to introduce your business in a comprehensive manner. While the Elevator Pitch that you saw in Module 4 is a very quick presentation, the Pitch Deck will guide you to introduce your business the best way to any ecosystem partner in order to mobilize support and bring your business to the next level.",45,Become an Entrepreneur,EN-US,0,0
448,Wrap Up: Claim Your Course Certificate,,45,Become an Entrepreneur,EN-US,0,0
334,Growing your Youth-Led Climate Organization,"An online course for local youth-led CSOs, networks and communities to enhance their climate advocacy and support young climate advocates, especially those left behind. 

The course will focus on community mobilization, resources mobilization, team building, communications, LNOB and gender equality, and equip CSOs leaders with tools and curriculums to expand their climate advocacy.",30,Climate Education,EN-US,0,0
419,Content Creation for Green Skills,"This Content Creation for Green Skills course aims to empower young individuals with the skills and knowledge to explore the fundamentals of content creation with a focus on green skills. The course emphasizes creating and distributing impactful content as an essential green skill, highlighting how eco-conscious storytelling and digital media can inspire sustainable action and address environmental challenges effectively. 

This online course was developed by Ms. Sochenda Aok, a 5-year experienced environmental content creator from Cambodia who founded ZEROW, a green media platform to empower youth to adopt a sustainable lifestyle. Sochenda is a Forbes 30 Under 30 and an ASEAN Youth Eco-Champions Awardee.",44,Content Creation,EN-US,0,0
289,A podcast series – .future,"The future isn’t random. It’s the result of the choices that we make now. We’ll be talking about technologies and industries that will define the next decade and beyond.

Join our host Cristina Quinn, a science and technology reporter, as she dives into everything from Minecraft to cyber warfare.

You can wait for the future to happen to you or engage with it right now and ahead of the curve on .future– a podcast from Microsoft Story Labs, produced in partnership with Gimlet Creative.",27,Digital Literacy,EN-US,0,0
288,Computer Security,"This course helps you to identify the various threats to your computer and the data stored on it. You will explore how to protect your computer from these threats by taking some preventive measures. Finally, this course explains the ethical and legal issues related to Internet usage.",27,Digital Literacy,EN-US,0,0
287,Digital Literacy,"From smart phones to digital cameras, computers are changing our everyday lives. This course introduces you to new digital technologies, including digital audio, digital video, and digital photography. It explores how these and other computing technologies are creating new career opportunities and shaping the world we live in.",27,Digital Literacy,EN-US,0,0
297,Productivity Programmes,"Hundreds of software applications are available today. This course explores the most common productivity software applications used in school, at work, and at home. The course teaches you how to choose the right software for your project. You will learn the fundamentals of word processing, spreadsheets, presentation software, and databases.",27,Digital Literacy,EN-US,0,0
292,The animated guide to all things tech,"Today’s biggest tech ideas, explained so anyone can understand. A new series from Microsoft Story Labs.",27,Digital Literacy,EN-US,0,0
357,Module 1: Course Introduction,,32,FOW (ENG) | Personal Branding,EN-US,0,0
359,Module 2: Defining Who You Are,,32,FOW (ENG) | Personal Branding,EN-US,0,0
360,Module 3: Building Your Personal Brand,,32,FOW (ENG) | Personal Branding,EN-US,0,0
361,Module 4: Establishing Your Personal Brand,,32,FOW (ENG) | Personal Branding,EN-US,0,0
362,Module 5: Conclusion,,32,FOW (ENG) | Personal Branding,EN-US,0,0
372,Module 1 Introduction,,35,FOW (ENG) | Personal Finance,EN-US,0,0
374,Module 2 : Introduction to Personal Finance,,35,FOW (ENG) | Personal Finance,EN-US,0,0
376,Module 3 Income and Expenses,,35,FOW (ENG) | Personal Finance,EN-US,0,0
378,"Module 4 Savings, Inflation, Insurance, Credit",,35,FOW (ENG) | Personal Finance,EN-US,0,0
377,Module 5 Investments,,35,FOW (ENG) | Personal Finance,EN-US,0,0
379,Module 6 Vision and Goal Setting,,35,FOW (ENG) | Personal Finance,EN-US,0,0
380,Module 7 Conclusion,,35,FOW (ENG) | Personal Finance,EN-US,0,0
363,Modul 1: Pengenalan Kursus,,33,FOW (IND) | Personal Branding,ID-ID,0,0
364,Modul 2: Tentukan Siapa Dirimu,,33,FOW (IND) | Personal Branding,ID-ID,0,0
365,Modul 3: Bangun Personal Brand-mu,,33,FOW (IND) | Personal Branding,ID-ID,0,0
366,Modul 4: Membangun Personal Brand-mu,,33,FOW (IND) | Personal Branding,ID-ID,0,0
367,Modul 5: Kesimpulan,,33,FOW (IND) | Personal Branding,ID-ID,0,0
71,"Apps, Websites & Technologies",,15,Mobile Literacy,EN-US,0,0
133,Building Skills to Boost your Business,,15,Mobile Literacy,EN-US,0,0
132,Learning and Discovering with your Mobile,,15,Mobile Literacy,EN-US,0,0
70,Mobile Fundamentals,,15,Mobile Literacy,EN-US,0,0
1,[MV101] From Aspiring Mover to Mover Facilitator,"This online course will guide you, step-by-step, to become a Movers Facilitator!

""For the feeling of trust to develop, we have to feel safe expressing ourselves first. "" - Simon Sinek

We all need a place where we can express ourselves freely knowing that we are not judged and we are accepted as who we are.


Movers Programme has been able to try its best to keep this space safe, judgement-free and full of kindness. As we are expanding, we trust you are on the mission of protecting our beloved people and this community.",1,Soft Skills,EN-US,0,0
301,Essential Facilitation Skills: Mastering the Fundamentals,"Unlock the secrets to successful facilitation with our comprehensive course, ""Essential Facilitation Skills: Mastering the Fundamentals."" Designed for aspiring or experienced facilitators alike, this course will equip you with the core skills needed to effectively and meaningfully facilitate your next workshop, meeting, or session.",1,Soft Skills,EN-US,0,0
8,Leadership in Action [LEVEL 1],"The Movers Workshop: Leadership in Action is a 2-hour interactive and live (in-person or online) workshop about leadership, self-awareness and decision-making. After attending the Movers Leadership Workshop, you will be able to understand the different components of leadership, discover actionable tools to enhance your self-awareness and frameworks to take action towards your personal goals.",1,Soft Skills,EN-US,0,0
183,Leadership in Action [LEVEL 2],"The Movers Workshop: Leadership in Action [LEVEL 2] is a 2-hour interactive and live (in-person or online) workshop about leadership, self-awareness and decision-making. After attending the Movers Leadership Workshop, you will be able to understand the different components of leadership, discover actionable tools to enhance your self-awareness and frameworks to take action towards your personal goals.",1,Soft Skills,EN-US,0,0
185,Leadership in Action [LEVEL 3],"The Movers Workshop: Leadership in Action [LEVEL 3] is a 2-hour interactive and live (in-person or online) workshop about leadership, self-awareness and decision-making. After attending the Movers Leadership Workshop, you will be able to reflect on your relationship with power, apply frameworks to discover your leadership style and be equipped with tools and mindsets to lead social change and cultivate your networks.",1,Soft Skills,EN-US,0,0
187,Storytelling - Tell Your Own Story [LEVEL 1],"The Movers Workshop: Tell Your Own Story is a 2-hour interactive workshop about storytelling, self-awareness and building trust. After attending Movers Storytelling Workshop, you will be able to reflect and understand your life through storytelling, and learn storytelling techniques and tell your own stories.",1,Soft Skills,EN-US,0,0
136,Wellbeing for Changemakers [LEVEL 1],"The Movers Workshop: Wellbeing for Changemakers is a 2-hour interactive workshop about the science of wellbeing and mental health. After attending the Movers Wellbeing Workshop, you will be able to understand the different building blocks of wellbeing, and come away with new ideas and actions to improve your individual wellbeing.",1,Soft Skills,EN-US,0,0
434,Module 0: Welcome - this is not your typical course,"Module 0 sets the stage for your confident speaking journey by exploring why communication is the #1 skill for career and personal growth. You’ll meet Rae, your instructor, and discover how owning your voice is about aligning your inner confidence with your outer expression. The module also outlines what to expect from the course, introduces key mindsets for success, and helps you set clear intentions to track your growth.",46,Speak with Impact,EN-US,0,0
435,Module 1: Overcome Your Fear of Public Speaking,"Module 1 helps learners understand and manage the root causes of their fear of public speaking, recognizing it as a natural response. It explores common fears such as past failures, fear of judgment, and negative authority experiences, guiding participants through self-reflection and mindset shifts to build self-trust. The lesson ends with an action plan to set clear speaking goals and take small, confidence-building steps toward becoming a more empowered communicator.",46,Speak with Impact,EN-US,0,0
437,Module 2: The Secret to Impactful Communication,"Module 2 introduces the three pillars of persuasive speaking—ethos (credibility), pathos (emotional connection), and logos (logic)—based on Aristotle’s timeless framework. Learners reflect on how to apply these pillars to connect with their audience, support their message, and communicate with purpose. A core practice, the Daily Insight, helps build creativity and self-awareness by encouraging consistent reflection through storytelling prompts and expressive writing.",46,Speak with Impact,EN-US,0,0
438,Module 3: Powerful Presentation Skills,"Module 3 guides you through a clear, structured method to craft impactful presentations—from brainstorming objectives and understanding your audience, to delivering with persuasive clarity using the 3 pillars (ethos, pathos, logos). It emphasizes planning your audience’s journey (from their current mindset to your desired outcome) while incorporating stories, interactivity, and emotional resonance to make your message memorable. Your weekly task is to apply this framework to design and deliver a short 5–10 minute presentation using the tools and templates provided.",46,Speak with Impact,EN-US,0,0
439,Module 4: Master the Art of Storytelling,"Module 4 emphasizes how storytelling builds deep emotional connections, evokes empathy, and enhances credibility—helping others root for you before you even begin. Through “story mining,” you reflect on personal experiences (joys, struggles, growth moments) to uncover meaningful stories that can support your career, advocacy, or message with emotional resonance and authenticity. This week’s task is to craft one personal story using the framework to connect with your audience and reinforce your message or mission.",46,Speak with Impact,EN-US,0,0
440,Module 5: Elevate your Stage Presence,"Module 5 teaches that your mindset and intentional use of voice significantly impact how confidently and effectively you communicate. By tapping into different vocal “characters”—Leader, Counsellor, Entertainer—and applying vocal variety techniques like tone, pace, pause, and emphasis, you can align your delivery with your audience’s desired thoughts, feelings, and actions. This week’s task is to practice delivering your story from Module 4 using this voice-shaping framework to intentionally influence your audience’s experience.",46,Speak with Impact,EN-US,0,0
443,Module 6: Own Your Voice as a Way of Life,"Module 6 invites you to reflect on your journey and commit to integrating your voice work into daily life. It encourages you to continue the Daily Insight practice using creative “plays” to strengthen your inner voice and expression across all areas of life. The lesson wraps up with powerful prompts and curated resources to help you sustain momentum, deepen self-awareness, and apply your voice with purpose in relationships, work, and personal growth.",46,Speak with Impact,EN-US,0,0
444,Module 7: Public Speaking for Advocacy,"Module 7 emphasizes that public speaking is a powerful tool for advocacy, requiring a strong voice, clarity of message, storytelling, and relationship-building to drive meaningful change. Your most authentic advocacy message stems from personal experiences and deep emotions, and connecting with the right audience means creating a shared world grounded in specific values and lived realities. The lesson encourages reflection, intentional communication, and collaboration to influence hearts, shift perspectives, and build a better future through your voice.",46,Speak with Impact,EN-US,0,0
445,Module 8: Public Speaking for Branding and Job Readiness,"Module 8 emphasizes the importance of building a personal brand as a way to stand out in today’s competitive, AI-driven world, whether in the workplace or job market. Your brand is shaped by your presence, identity, voice, and story—how people experience you and what you consistently stand for. The lesson also provides tools to prepare for interviews, share your story confidently, and advocate for yourself by aligning your communication and mindset with your personal brand.",46,Speak with Impact,EN-US,0,0
446,Module 9: Public Speaking for Young Entrepreneurs,"Module 9 highlights how strong public speaking skills are essential for young social entrepreneurs to inspire action, secure resources, and build a credible brand. It outlines key elements of a strong pitch—compelling openings, clear value propositions, emotional storytelling, proven traction, and confident delivery—while warning against common mistakes like being overly technical or neglecting stories. Finally, it emphasizes crafting a powerful brand story and showcasing client transformations using storytelling frameworks to emotionally connect with audiences and demonstrate impact.",46,Speak with Impact,EN-US,0,0
345,Module 1: Spot the Challenge,"In this module, you will be introduced to key concepts related to climate change and green jobs. This module will help you ""spot the challenge"" of climate change and understand how you can act on your climate concerns through your career decisions. By the end of this module, you will be ready to move onto Module 2: Listen to Yourself.",31,Your Future in Green Jobs,EN-US,0,0
346,Module 2: Listen to Yourself,"In this module, you will build on what you learned in Module 1: Spot the Challenge and learn about the skills necessary for green jobs. You will think critically about how these green skills apply to different jobs and to your own life. By the end of the module, you will have reflected on which green skills you already possess and which you would like to keep building, preparing you to advance to Module 3: Find Youth Path.",31,Your Future in Green Jobs,EN-US,0,0
347,Module 3: Find Your Path,"In this module, you will build on what you've learned in Modules 1 and 2 and be introduced to an array of green career paths across different sectors by attending a Virtual Green Job Career Fair. The goal of this module is to give you a sense of the possibilities that lie ahead as you embark on your green career path. You will reflect on and assess what career paths most interest you and align with your skillset and values. By the end of this module, you will be ready to move on to Module 4: Consider the Bigger Picture. ​",31,Your Future in Green Jobs,EN-US,0,0
349,Module 4: Consider the Bigger Picture,"In this module, you will build on what you've learned in the first half of the course to connect green jobs to broader systems of change, exploring how all 17 of the Sustainable Development Goals are relevant to green jobs and a green transition. The goal of this module is to broaden your perspective of green jobs toward seeing how all jobs can be green jobs. By the end of this module, you will be ready to move on to Module 5: Unlock Your Inner Entrepreneur.",31,Your Future in Green Jobs,EN-US,0,0
350,Module 5: Unlock Your Inner Entrepreneur,"In this module, you will learn how you can bring your personal skills, interests, and values to whatever green job you decide to take on, adopting an entrepreneurial spirit in how you live and work more sustainably. The goal of this module is to prompt reflection on your own values and how they may align with your green career path and to introduce you to the work that green entrepreneurs around the world are doing, building their skills, following their interests, and working in alignment with their values while contributing to sustainable development. By the end of this module, you will be ready to move on to the final module of this course, Module 6: Build Your Green Career.",31,Your Future in Green Jobs,EN-US,0,0
351,Module 6: Build Your Green Career,"In this module, you will complete a Green New Careers quiz from the Sunrise Movement, and then learn about the different green career paths that may suit you best. The goal of this module is to bring together all you have learned about green jobs and yourself throughout this course. Thus, you will finish the course feeling confident and excited about finding the right green career path for you. By the end of this module, you will have a better idea of the types of green jobs out there that match your interests and working styles, and you will be ready to apply all you've learned in this course to the real world!",31,Your Future in Green Jobs,EN-US,0,0
